VALVESIZE,FIGNO,LIFT,STMDIA,PITCH,LEAD,PACKLOAD,PORT DIA,HDWLDIA,VALFACT,MAX DP,VALMFG,WGT,Notes
24,1907,23,3.5,0.25,0.5,4000,21,,0.2,2220,25,,
4,6031,1.5,1.375,0.25,0.25,1500,4,,1.1,1480,17,,
6,9031,2.36,2,0.25,0.25,2500,5.75,,1.1,2220,20,,
4,1207,3.5,1.375,0.25,0.5,1500,2.875,,0.2,6170,25,,
12,1303,11.5,2.75,0.25,0.5,4000,10.37,,0.3,3750,25,,
16,1303,15,3,0.25,0.5,4000,13,,0.3,3750,25,,
1.25,GA15,1.25,0.625,0.125,0.125,1000,0.875,,0.3,3705,30,,
1.25,GL15,0.5,0.625,0.125,0.125,1000,0.8125,,1.1,3705,30,,
0.5,GL15,0.25,0.4375,0.125,0.125,1000,0.3125,,1.1,3705,30,,
2,GL15,0.5,0.6875,0.125,0.125,1000,1.0625,,1.1,3705,30,,
5,1103,5.5,1.75,0.25,0.5,2500,4.37,,0.3,3705,25,,
16,1903,15.5,2.5,0.25,0.5,2500,14,,0.3,2220,25,,
8,1903,8.35,1.875,0.25,0.5,2500,7.5,,0.3,2220,25,,
12,1903,12.5,2.25,0.25,0.5,2500,11.12,,0.3,2220,25,,
6,1203,6,1.875,0.25,0.5,2500,4.37,,0.3,6170,25,,
2,1103,2.25,1,0.2,0.4,1000,1.87,,0.3,3705,25,,
2.5,1103,2.75,1.125,0.166666667,0.33333333,1500,2.25,,0.3,3705,25,,
3,1103,3.5,1.25,0.2,0.4,1500,2.75,,0.3,3705,25,,
4,1103,4.25,1.375,0.25,0.5,1500,3.62,,0.3,3705,25,,
6,1103,6.25,1.75,0.25,0.5,2500,5.37,,0.3,3705,25,,
10,1103,10,2.5,0.25,0.5,2500,8.75,,0.3,3705,25,,
18,1103,16,3.25,0.25,0.5,4000,14.62,,0.3,3705,25,,
20,1103,18,3.5,0.25,0.5,4000,16.37,,0.3,3705,25,,
2,1107,2.25,1,0.2,0.4,1000,1.87,,0.2,3705,25,,
