VALVESIZE,FIGNO,LIFT,STMDIA,PITCH,LEAD,PACKLOAD,PORT DIA,HDWLDIA,VALFACT,MAX DP,VALMFG,WGT,Notes
18,120003,14.75,3.5,0.25,0.5,4000,13,,0.3,4940,1,,
20,120003,16.375,3.5,0.25,0.5,4000,14.5,,0.3,4940,1,,
24,120003,19.375,4.25,0.25,0.5,5000,17.5,,0.3,4940,1,,
1,1203,1.125,0.625,0.125,0.125,1000,0.8125,,0.3,6170,1,,
1.5,1203,1.75,0.875,0.142285714,0.285714286,1000,1.125,,0.3,6170,1,,
2,1203,1.75,0.875,0.142,0.286,1000,1.3437,,0.3,6170,1,,
2.5,1203,2.5,1,0.142,0.286,1000,1.9375,14,0.3,6170,1,,
3,1203,3,1,0.142,0.286,1000,2.375,14,0.3,6170,1,,
4,1203,3.375,1.25,0.2,0.4,1500,2.5625,22,0.3,6170,1,,
6,1203,5.375,1.5,0.2,0.4,1500,4.5,26,0.3,6170,1,,
8,1203,7.25,1.75,0.2,0.4,2500,6.25,30,0.3,6170,1,,
10,1203,8.875,2.25,0.25,0.5,2500,7.75,30,0.3,6170,1,,
12,1203,10.625,2.5,0.25,0.5,2500,9.25,36,0.3,6170,1,,
14,1203,11.875,3,0.25,0.5,4000,10.5,,0.3,6170,1,,
16,1203,13.375,3.25,0.25,0.5,4000,11.75,,0.3,6170,1,,
18,1203,14.75,3.5,0.25,0.5,4000,13,,0.3,6170,1,,
20,1203,16.375,3.5,0.25,0.5,4000,14.5,,0.3,6170,1,,
24,1203,19.375,4.25,0.25,0.5,5000,17.5,,0.3,6170,1,,
2.5,1231Y,1.75,1,0.166666667,0.166666667,1000,1.7812,14,1.1,6170,1,,
3,1231Y,2,1.125,0.166666667,0.166666667,1500,2.1875,16,1.1,6170,1,,
4,1231Y,2.5,1.375,0.166666667,0.166666667,1500,2.8125,20,1.1,6170,1,,
6,1231Y,4,2.125,0.25,0.25,2500,4.6875,30,1.1,6170,1,,
8,1231Y,5.5,2.5,0.25,0.25,2500,6.0625,,1.1,6170,1,,
10,1231Y,7,3,0.25,0.25,4000,7.5625,,1.1,6170,1,,
12,1231Y,8,3.5,0.25,0.25,4000,8.9375,,1.1,6170,1,,
14,1231Y,9,4,0.33333333,0.33333333,4000,10.6875,,1.1,6170,1,,
16,1231Y,11,4.75,0.5,0.5,5000,11.6875,,1.1,6170,1,,
18,1231Y,11,5.5,0.5,0.5,5000,13.3125,,1.1,6170,1,,
2.5,1284Y,1.75,1,0.166666667,0.166666667,1000,1.7812,14,1.1,6170,1,,
3,1284Y,2,1.125,0.166666667,0.166666667,1500,2.1875,16,1.1,6170,1,,
4,1284Y,2.5,1.375,0.166666667,0.166666667,1500,2.8125,20,1.1,6170,1,,
6,1284Y,4,2.125,0.25,0.25,2500,4.6875,30,1.1,6170,1,,
8,1284Y,5.5,2.5,0.25,0.25,2500,6.0625,,1.1,6170,1,,
10,1284Y,7,3,0.25,0.25,4000,7.5625,,1.1,6170,1,,
12,1284Y,8,3.5,0.25,0.25,4000,8.9375,,1.1,6170,1,,
14,1284Y,9,4,0.33333333,0.33333333,4000,10.6875,,1.1,6170,1,,
2,1793,2.5,0.75,0.142285714,0.285714286,1000,2,7,0.3,200,1,36,
2.5,1793,3,0.75,0.142285714,0.285714286,1000,2.625,7,0.3,200,1,48,
3,1793,3.5,0.875,0.142285714,0.285714286,1000,3,8,0.3,200,1,62,
4,1793,4.5,1,0.166666667,0.33333333,1000,4.125,10,0.3,200,1,108,
5,1793,5.875,1.0625,0.166666667,0.33333333,1500,5.125,12,0.3,200,1,145,
6,1793,6.75,1.125,0.2,0.4,1500,6.125,12,0.3,200,1,186,
8,1793,8.75,1.375,0.25,0.5,1500,8,14,0.3,200,1,294,
10,1793,10.875,1.625,0.25,0.5,2500,10,16,0.3,200,1,460,
12,1793,12.625,1.625,0.25,0.5,2500,12,18,0.3,200,1,618,
14,1793,14,1.75,0.25,0.5,2500,13.25,20,0.3,200,1,880,
16,1793,16.125,2,0.5,0.5,2500,15.25,22,0.3,200,1,1166,
18,1793,18.125,2,0.5,0.5,2500,17.25,24,0.3,200,1,1467,
20,1793,20,2.25,0.5,0.5,2500,19,24,0.3,200,1,1824,
24,1793,24.5,2.5,0.5,0.5,2500,23.125,30,0.3,200,1,2618,
30,1793,30.625,2.75,0.5,0.5,4000,19.125,36,0.3,200,1,4800,
36,1793,37.875,3.25,0.5,0.5,4000,36,46,0.3,200,1,8700,
22,1503,23,2.25,0.33333333,0.33333333,2500,21.25,26,0.3,285,2,2210,
16,1603,14.4,2.5,0.25,0.5,2500,12.875,,0.3,1480,1,,
18,1603,16,2.75,0.25,0.5,4000,14.375,,0.3,1480,1,,
20,1603,17.9,3,0.25,0.5,4000,16,,0.3,1480,1,,
24,1603,21.4,3.5,0.25,0.5,4000,19.5,,0.3,1480,1,,
30,1603,29.4,3.75,0.25,0.5,4000,27.5,,0.3,1480,1,,
3,1631Y,2.5,1,0.166666667,0.166666667,1000,2.90625,12,1.1,1480,1,,
4,1631Y,3.375,1.125,0.2,0.2,1500,3.71875,16,1.1,1480,1,,
5,1631Y,4,1.5,0.2,0.2,1500,4.6875,20,1.1,1480,1,,
10,1631Y,8,2.5,0.25,0.25,2500,9.6875,,1.1,1480,1,,
12,1631Y,9.5,2.75,0.25,0.25,4000,11.4375,,1.1,1480,1,,
14,1631Y,10.75,3,0.25,0.25,4000,12.5625,,1.1,1480,1,,
16,1631Y,11.75,3.25,0.25,0.25,4000,14.3125,,1.1,1480,1,,
18,1631Y,13.25,3.75,0.33333333,0.33333333,4000,16.0625,,1.1,1480,1,,
20,1631Y,15.25,4.75,0.5,0.5,5000,18,,1.1,1480,1,,
16,1284Y,11,4.75,0.5,0.5,5000,11.6875,,1.1,6170,1,,
2,1793,2.25,0.787,0.166666667,0.166666667,1000,1.95,,0.3,200,6,,
2.5,1793,,0.787,0.166666667,0.166666667,1000,2.48,,0.3,200,6,,
3,1793,,0.945,0.2,0.2,1000,2.97,,0.3,200,6,,
4,1793,4.5,1.024,0.2,0.2,1500,3.98,,0.3,200,6,,
5,1793,5.5,1.102,0.2,0.2,1500,5,,0.3,200,6,,
6,1793,,1.181,0.25,0.25,1500,5.99,,0.3,200,6,,
8,1793,,1.26,0.25,0.25,1500,7.91,,0.3,200,6,,
10,1793,,1.374,0.25,0.25,1500,10,,0.3,200,6,,
12,1793,,1.563,0.25,0.25,2500,11.97,,0.3,200,6,,
14,1793,14,1.654,0.25,0.25,2500,13.25,,0.3,150,6,,
16,1793,,1.732,0.33333333,0.33333333,2500,15.25,,0.3,150,6,,
18,1793,18,1.811,0.33333333,0.33333333,2500,17.25,,0.3,150,6,,
20,1793,,1.89,0.33333333,0.33333333,2500,19.25,,0.3,150,6,,
24,1793,,1.969,0.33333333,0.33333333,2500,23.25,,0.3,150,6,,
3,1503,3.5,0.875,0.142285714,0.285714286,1000,3,9,0.3,285,1,80,
4,3031,1.54,1.125,0.2,0.2,1500,4.12,,1.1,740,2,,
18,1284Y,11,5.5,0.5,0.5,5000,12.9375,,1.1,6170,1,,
16,2456,16.125,1.75,0.25,0.5,2500,15.25,22,0.3,275,1,862,
26,1503,26,2.5,0.333,0.333,2500,25.25,32,0.3,285,2,3320,
28,1503,28.6,2.5,0.333,0.333,2500,27.25,32,0.3,285,2,4510,
30,1503,30.75,2.5,0.333,0.333,2500,29.25,32,0.3,285,2,4500,
14,6003,13.9,2.25,0.333,0.333,2500,12.87,26,0.3,1480,2,2800,
16,6003,16,2.5,0.333,0.333,2500,14.75,26,0.3,1480,2,3630,
18,6003,17.625,2.5,0.333,0.333,2500,16.5,32,0.3,1480,2,4920,
20,6003,19.5,2.75,0.333,0.333,4000,18.25,32,0.3,1480,2,6350,
24,6003,23.25,3,0.5,0.5,4000,22,32,0.3,1480,2,9260,
12,6084,4,2.75,0.25,0.25,4000,12.25,30,1.1,1480,1,2780,
10,6084,3.9375,2.5,0.25,0.25,2500,10.25,26,1.1,1480,1,2100,
8,6084,3.25,2,0.25,0.25,2500,8.3125,20,1.1,1480,1,1130,
6,6084,3.375,1.75,0.333333333,0.333333333,2500,6.1875,20,1.1,1480,1,630,
4,6084,1.813,1.375,0.25,0.25,1500,4.125,16,1.1,1480,1,315,
3,6084,1.4375,1.25,0.25,0.25,1500,3.125,12,1.1,1480,1,166,
2.5,3031,1.25,1,0.166666667,0.166666667,1000,2.609375,8,1.1,740,1,63,
4,1231,,1.375,0.166666667,0.166666667,1500,2.8125,20,1.1,6170,1,,
4,1231,1.969,1.625,0.25,0.25,2500,2.56,,1.1,6170,5,,
3,6031,1,1.25,0.2,0.2,1500,3.0625,,1.1,1480,2,,
3,2456,3.5,0.8125,0.142285714,0.285714286,1000,2.875,7,0.3,275,1,52,
2,1531,0.8,0.75,0.166666667,0.166666667,1000,2.109,8,1.1,285,2,60,
2.5,1531,0.92,0.875,0.166666667,0.166666667,1000,2.609,9,1.1,285,2,80,
3,1531,1.14,1,0.2,0.2,1000,3.125,10,1.1,285,2,105,
4,1531,1.38,1.125,0.2,0.2,1500,4.125,12,1.1,285,2,152,
6,1531,2,1.25,0.2,0.2,1500,6.141,14,1.1,285,2,240,
8,1531,2.525,1.375,0.25,0.25,1000,8.125,16,1.1,285,2,412,
10,1531,3.025,1.625,0.25,0.25,2500,10.141,22,1.1,285,2,575,
12,1531,3.5,1.75,0.25,0.25,2500,12.172,22,1.1,285,2,1120,
2.5,1584,0.92,0.875,0.166666667,0.166666667,1000,2.609,9,1.1,285,2,,
3,1584,1.14,1,0.2,0.2,1000,3.125,10,1.1,285,2,,
4,1584,1.38,1.125,0.2,0.2,1500,4.125,12,1.1,285,2,,
6,1584,2,1.25,0.2,0.2,1500,6.141,14,1.1,285,2,,
8,1584,2.525,1.375,0.25,0.25,1000,8.125,16,1.1,285,2,,
10,1584,3.025,1.625,0.25,0.25,2500,10.141,22,1.1,285,2,,
12,1584,3.5,1.75,0.25,0.25,2500,12.172,22,1.1,285,2,,
2,1584,0.8,0.75,0.166666667,0.166666667,1000,2.109,8,1.1,285,2,,
20,1231Y,16,6,0.5,0.5,5000,14.9375,,1.1,6170,1,,
14,2456,,1.5,0.25,0.5,1500,13.25,22,0.3,275,1,650,
12,2456,,1.374,0.25,0.25,1500,11.875,18,0.3,275,2,495,
14,2456,,1.626,0.25,0.25,2500,13.25,22,0.3,275,2,740,
6,1131,,2.125,0.25,0.25,2500,5.6875,26,1.1,3705,1,,
6,1631Y,,1.75,0.25,0.25,2500,6.3125,,1.1,1480,1,,
20,2467,20.75,2.25,0.25,0.5,2500,19,30,0.3,720,1,,
12,3031,4,2,0.33333333,0.33333333,2500,12.25,,1.1,740,10,,
12,3084,4,2,0.33333333,0.33333333,2500,12.25,,1.1,740,10,,
14,1203,9.84,3.5,0.5,1,4000,8.86,,0.3,6170,5,,
2,GY26,1.75,1.125,0.2,0.2,1500,1.56,13.5,1.1,6610,11,,
20,1631,9,4,0.33333333,0.33333333,4000,15.6,,1.1,1480,5,,
14,1631,6.3,3,0.33333333,0.33333333,2500,11.1,,1.1,1480,5,,
20,1684,8.59,4,0.5,0.5,4000,16.35,,1.1,1480,5,,
14,1684,6.3,3,0.33333333,0.33333333,4000,11.1,,1.1,1480,5,,
8,1103,7.6667,2.25,0.33333333,0.33333333,2500,6.25,,0.3,3705,2,,
12,3031,3.95,1.875,0.25,0.25,2500,12.25,,1.1,740,2,,
16,6031,5,3.5,0.25,0.25,4000,15.0625,,1.1,1480,1,,
4,2447,1.54,1.358,0.2,0.2,2500,4,,1.1,720,2,,
4,16095,,,,,,3.54,,,1480,5,,
6,3031,2.25,1.375,0.25,0.25,1500,6,,1.1,740,2,,
6,6031,2,2,0.25,0.25,2500,6,,1.1,1480,2,,
14,1284Y,6.7,4,0.5,0.5,4000,8.46,,1.1,6170,5,,
2.5,1503,2.6875,0.8125,0.143,0.286,1000,2.5,7,0.3,285,1,,
30,6003,30.512,4.25,0.5,1,5000,27.375,,0.3,1480,4,,
8,1787,8.5,1.26,0.25,0.25,1500,7.91,,0.3,200,6,,
10,1787,10.5,1.375,0.25,0.25,1500,10,,0.3,200,6,,
12,1787,12.5,1.563,0.25,0.25,2500,11.97,,0.3,200,6,,
4,1631,1.81,1.375,0.25,0.25,1500,3.74,,1.1,1480,5,,
3,1103,3.03,1.375,0.25,0.25,1500,2.756,,0.3,3705,15,,
4,1103,4.25,1.375,0.25,0.25,1500,3.125,,0.3,3705,2,,
2,1503,2.5,0.75,0.166666667,0.166666667,1000,2,7.87,0.3,285,7,,
2.5,1503,3.3,0.75,0.166666667,0.166666667,1000,2.5,7.87,0.3,285,7,,
3,1503,3.6,0.875,0.166666667,0.166666667,1000,3,8.86,0.3,285,7,,
4,1503,4.4,1,0.2,0.2,1000,4,9.84,0.3,285,7,,
5,1503,5.8,1.125,0.2,0.2,1500,5,11.81,0.3,285,7,,
6,1503,6.4,1.125,0.2,0.2,1500,6,11.81,0.3,285,7,,
8,1503,8.5,1.25,0.2,0.2,1500,8,13.78,0.3,285,7,,
10,1503,10.6,1.375,0.25,0.25,1500,10,15.75,0.3,285,7,,
1.5,GY25,1.25,0.75,0.166666667,0.166666667,1000,1.1,10.24,1.1,6170,14,,
2,GY25,1.26,1,0.2,0.2,1000,1.38,13.78,1.1,6170,14,,
5,3003,5.5,1.102,0.2,0.2,1500,5,,0.3,740,8,,
18,6003,19.29,2.5,0.33333333,0.33333333,2500,16.49,,0.3,1480,4,,
8,1203,6.5,2.5,0.333,0.666,2500,5.315,,0.3,6170,5,,
6,1203,5.12,1.875,0.25,0.5,2500,4.134,,0.3,6170,5,,
2.5,1203,2.76,1.125,0.2,0.4,1500,2.13,,0.3,6170,5,,
12,1603,11.02,2.25,0.333,0.666,2500,10.55,,0.3,1480,5,,
28,1503,29.13,2.5,0.33333333,0.33333333,2500,27.24,,0.3,285,4,,
14,1284,5.55,4,0.5,0.5,4000,8.46,,1.1,6170,5,,
16,1684,6.89,3.5,0.5,0.5,4000,13.19,,1.1,1480,5,,
10,1103,8.5,2.5,0.3333,0.666666667,2500,7.88,,0.3,3705,5,,
6,1103,5.35,1.875,0.25,0.5,2500,4.8,,0.3,3705,5,,
24,1603,20.95,3.5,0.5,0.5,4000,19.69,,0.3,1480,5,,
8,1103,6.85,2.25,0.33333333,0.666666667,2500,6.3,,0.3,3705,5,,
1,2456,1.378,0.5,0.1,0.1,1000,1,,0.3,275,8,,
1.5,2456,2.079,0.5625,0.125,0.125,1000,1.5,,0.3,275,8,,
2,2456,2.575,0.625,0.166666667,0.166666667,1000,2,,0.3,275,8,,
14,2456,14.299,1.625,0.285714286,0.285714286,2500,13.25,,0.3,275,8,,
16,2456,16.311,1.75,0.285714286,0.285714286,2500,15.25,,0.3,275,8,,
18,2456,18.287,1.875,0.33333333,0.33333333,2500,17.25,,0.3,275,8,,
20,2456,20.472,2,0.33333333,0.33333333,2500,19.25,,0.3,275,8,,
24,2456,24.016,2.25,0.33333333,0.33333333,2500,23.25,,0.3,275,8,,
2,6003,2.559,0.787,0.166666667,0.166666667,1000,2,,0.3,1480,8,,
2.5,6003,2.795,0.945,0.2,0.2,1000,2.5,,0.3,1480,8,,
3,6003,3.409,1.024,0.2,0.2,1500,3,,0.3,1480,8,,
3,1331,1.925,1.375,0.25,0.25,2500,2.625,,1.1,3705,2,,
8,1331,2.83,2.25,0.33333333,0.33333333,4000,7.3125,,1.1,3705,2,,
4,2309,1.75,1,0.166666667,0.166666667,1000,4.789,10,1.1,275,1,110,
4,2310,6.25,1,0.166666667,0.166666667,1000,4.435,10,1.1,275,1,110,
20,2456,20.5,2,0.25,0.5,2500,19.25,24,0.3,275,1,2000,
3,2475,1.25,0.9375,0.166666667,0.166666667,1000,3,10,1.1,275,1,71,
4,2475,1.62,1.125,0.166666667,0.166666667,1500,4,12,1.1,275,1,109,
6,2629,2.25,1.375,0.25,0.25,2500,6,14,1.1,275,1,173,
8,2629,2.5,1.5,0.2,0.2,1500,8,16,1.1,275,1,323,
8,1931Y,,2.75,0.25,0.25,4000,7.8125,,1.1,2220,1,,
8,3031,2.525,1.625,0.25,0.25,2500,8,,1.1,740,2,,
3,2467,3.709,0.875,0.2,0.2,1000,3,,0.3,720,8,,
4,2467,4.575,1,0.2,0.2,1000,4,,0.3,720,8,,
6,2467,6.48,1.375,0.25,0.25,1500,6,,0.3,720,8,,
8,2467,8.504,1.375,0.25,0.25,1500,8,,0.3,720,8,,
10,2467,10.256,1.5,0.25,0.25,1500,10,,0.3,720,8,,
12,2467,12.315,1.625,0.285714,0.285714286,2500,12,,0.3,720,8,,
16,2467,16.291,1.875,0.33333333,0.33333333,2500,15.25,,0.3,720,8,,
2.5,2456,2.846,0.625,0.166666667,0.166666667,1000,2.5,,0.3,275,8,,
1,2467,1.378,0.625,0.166666667,0.166666667,1000,1,,0.3,720,8,,
1.5,2467,1.811,0.75,0.2,0.2,1000,1.5,,0.3,720,8,,
2,2467,2.268,0.75,0.2,0.2,1000,2,,0.3,720,8,,
3,2456,3.47,0.75,0.2,0.2,1000,3,,0.3,275,8,,
4,6003,4.043,1.181,0.25,0.25,1500,4,,0.3,1480,8,,
6,6003,7.138,1.575,0.285714286,0.285714286,2500,6,,0.3,1480,8,,
8,6003,8.386,1.654,0.285714286,0.285714286,2500,7.87,,0.3,1480,8,,
10,6003,10.945,1.89,0.33333333,0.33333333,2500,9.75,,0.3,1480,8,,
12,6003,12.717,2.047,0.33333333,0.33333333,2500,11.75,,0.3,1480,8,,
30,1503,29.767,2.5,0.33333333,0.33333333,2500,29.25,,0.3,285,8,,
36,1503,35.467,2.75,0.33333333,1,4000,35.25,,0.3,285,8,,
1.5,GY45,1.18,1,0.2,0.2,1000,0.98,,1.1,11110,14,56.1,
16,1903,13.53,2.875,0.33333333,0.666666667,4000,12.4,,0.3,2220,5,,
1.5,AN08,,0.625,0.125,0.125,1000,1.1,,1.1,1975,14,,
1.5,AN15,,0.75,0.166666667,0.166666667,1000,1.1,,1.1,3705,14,,
0.5,GA08,0.551,0.625,0.125,0.125,1000,0.39,3.54,0.3,1975,14,3.74,
0.75,GA08,0.748,0.625,0.125,0.125,1000,0.55,3.54,0.3,1975,14,4.62,
1,GA08,0.945,0.625,0.125,0.125,1000,0.71,3.94,0.3,1975,14,7.3,
1.5,GA08,1.417,0.625,0.125,0.125,1000,1.22,5.51,0.3,1975,14,15.4,
2,GA08,1.732,0.4375,0.125,0.125,1000,1.44,5.51,0.3,1975,14,20,
0.5,GAL8,0.748,0.625,0.125,0.125,1000,0.55,3.54,0.3,1975,14,4.8,
4,2456,5.217,0.875,0.2,0.2,1000,5,,0.3,275,8,,
6,2456,6.496,1,0.2,0.2,1000,6,,0.3,275,8,,
8,2456,8.504,1.125,0.25,0.25,1500,8,,0.3,275,8,,
10,2456,10.583,1.25,0.25,0.25,1500,10,,0.3,275,8,,
12,2456,12.083,1.375,0.25,0.25,1500,12,,0.3,275,8,,
14,6003,13.622,2.252,0.33333333,0.33333333,2500,12.87,,0.3,1480,8,,
16,6003,15.472,2.5,0.33333333,0.33333333,2500,14.75,,0.3,1480,8,,
18,6003,17.071,2.5,0.33333333,0.33333333,2500,16.5,,0.3,1480,8,,
2,9003,2.264,1.024,0.2,0.2,1500,1.87,,0.3,2220,8,,
3,9003,3.358,1.181,0.25,0.25,1500,2.87,,0.3,2220,8,,
2,1973,2.76,0.75,0.2,0.2,1000,2,,0.3,1440,8,,
3,1973,3.24,1,0.2,0.2,1000,3,,0.3,1440,8,,
6,1973,8.35,1.5,0.25,0.25,1500,6,,0.3,1440,8,,
8,1973,9.03,1.625,0.285714286,0.285714286,2500,8,,0.3,1440,8,,
10,1973,10.43,1.875,0.33333333,0.33333333,2500,9.75,,0.3,1440,8,,
12,1973,13.73,2.047,0.33333333,0.33333333,2500,11.75,,0.3,1440,8,,
4,9003,4.882,1.26,0.25,0.25,1500,3.87,,0.3,2220,8,,
6,9003,6.799,1.654,0.285714286,0.285714286,2500,5.75,,0.3,2220,8,,
8,9003,8.142,1.89,0.33333333,0.33333333,2500,7.5,,0.3,2220,8,,
2,1303,2.264,1.024,0.2,0.2,1500,1.87,,0.3,3705,8,,
2.5,1303,2.717,1.181,0.25,0.25,1500,2.25,,0.3,3705,8,,
3,1303,3.417,1.26,0.25,0.25,1500,2.75,,0.3,3705,8,,
4,1303,4.528,1.417,0.25,0.25,1500,3.62,,0.3,3705,8,,
6,1303,6.476,1.811,0.33333333,0.33333333,2500,5.37,,0.3,3705,8,,
8,1303,7.717,2.126,0.33333333,0.33333333,2500,7,,0.3,3705,8,,
10,1303,9.5,2.5,0.33333333,0.33333333,2500,8.75,,0.3,3705,8,,
2,1503,2.45,0.787,0.166666667,0.166666667,1000,2,,0.3,285,8,,
3,1503,3.58,0.945,0.166666667,0.166666667,1000,3,,0.3,285,8,,
4,1503,4.44,1.024,0.2,0.2,1500,4,,0.3,285,8,,
6,1503,6.4,1.181,0.25,0.25,1500,6,,0.3,285,8,,
8,1503,8.45,1.26,0.25,0.25,1500,8,,0.3,285,8,,
10,1503,10.6,1.417,0.25,0.25,1500,10,,0.3,285,8,,
12,1503,12.629,1.575,0.285714286,0.285714286,2500,12,,0.3,285,8,,
14,1503,13.943,1.654,0.285714286,0.285714286,2500,13.25,,0.3,285,8,,
16,1503,15.9,1.811,0.33333333,0.33333333,2500,15.25,,0.3,285,8,,
18,1503,18.067,1.89,0.33333333,0.33333333,2500,17.25,,0.3,285,8,,
20,1503,20.2,2.047,0.33333333,0.33333333,2500,19.25,,0.3,285,8,,
24,1503,24,2.25,0.33333333,0.33333333,2500,23.25,,0.3,285,8,,
28,1503,28,2.5,0.33333333,0.33333333,2500,27.25,,0.3,285,8,,
16,2456,,1.75,0.25,0.25,2500,15.25,,0.3,270,2,,
2,3003,2.45,0.787,0.166666667,0.166666667,1000,2,,0.3,740,8,,
2.5,3003,3.3,0.787,0.166666667,0.166666667,1000,2.5,,0.3,740,8,,
3,3003,3.58,0.945,0.2,0.2,1000,3,,0.3,740,8,,
4,3003,4.62,1.024,0.2,0.2,1500,4,,0.3,740,8,,
6,3003,6.4,1.26,0.25,0.25,1500,6,,0.3,740,8,,
8,3003,9.175,1.417,0.25,0.25,1500,8,,0.3,740,8,,
10,3003,10.629,1.575,0.285714286,0.285714286,2500,10,,0.3,740,8,,
12,3003,12.571,1.654,0.285714286,0.285714286,2500,12,,0.3,740,8,,
14,3003,14.233,1.811,0.33333333,0.33333333,2500,13.25,,0.3,740,8,,
16,3003,16.1,1.89,0.33333333,0.33333333,2500,15.25,,0.3,740,8,,
18,3003,17.767,2.047,0.33333333,0.33333333,2500,18,,0.3,740,8,,
20,3003,19.7,2.125,0.33333333,0.33333333,2500,19,,0.3,740,8,,
36,3003,35.45,3.75,0.5,0.5,4000,35,,0.3,740,8,,
4,1131,2.4,1.5,0.25,0.25,1500,3.75,,1.1,3705,2,,
10,3084,3.346,2.28,0.33333333,0.33333333,1500,9.06,,1.1,740,12,,
12,3084,4.173,2.44,0.33333333,0.33333333,1500,10.83,,1.1,740,12,,
14,3084,4.33,2.56,0.33333333,0.33333333,2500,11.97,,1.1,740,12,,
6,6084,2.087,2.05,0.33333333,0.33333333,1500,5.98,,1.1,1480,12,,
8,6084,3.15,2.17,0.33333333,0.33333333,1500,7.17,,1.1,1480,12,,
10,6084,3.425,2.56,0.33333333,0.33333333,2500,9.06,,1.1,1480,12,,
0.75,GAL8,0.945,0.625,0.125,0.125,1000,0.71,3.94,0.3,1975,14,7.5,
1,GAL8,1.142,0.625,0.125,0.125,1000,0.94,4.72,0.3,1975,14,11.7,
1.5,GAL8,1.732,0.625,0.125,0.125,1000,1.44,5.51,0.3,1975,14,20.2,
2,GAL8,2.205,0.75,0.166666667,0.166666667,1000,1.89,7.87,0.3,1975,14,31.2,
0.5,GL08,0.472,0.625,0.125,0.125,1000,0.35,3.54,1.1,1975,14,3.7,
0.75,GL08,0.551,0.625,0.125,0.125,1000,0.49,3.54,1.1,1975,14,4.4,
1,GL08,0.709,0.625,0.125,0.125,1000,0.69,3.94,1.1,1975,14,7,
1.5,GL08,1.26,0.75,0.166666667,0.166666667,1000,1.1,5.51,1.1,1975,14,17.2,
2,GL08,1.3125,0.875,0.166666667,0.166666667,1000,1.26,5.51,1.1,1975,14,23.3,
0.5,GLL8,0.551,0.625,0.125,0.125,1000,0.49,3.54,1.1,1975,14,4.6,
0.75,GLL8,0.709,0.625,0.125,0.125,1000,0.69,3.94,1.1,1975,14,7.3,
1,GLL8,0.866,0.625,0.125,0.125,1000,0.89,4.72,1.1,1975,14,11.9,
1.5,GLL8,1.181,0.625,0.125,0.125,1000,1.26,5.51,1.1,1975,14,23.5,
2,GLL8,1.26,0.75,0.166666667,0.166666667,1000,1.57,7.87,1.1,1975,14,35.2,
2,1531,0.71,0.787,0.167,0.167,1000,2,8,1.1,285,8,,
2.5,1531,1.24,0.945,0.2,0.2,1000,2.5,10,1.1,285,8,,
3,1531,1.35,1.024,0.2,0.2,1500,3,10,1.1,285,8,,
4,1531,1.86,1.181,0.25,0.25,1500,4,12,1.1,285,8,,
5,1531,,1.26,0.25,0.25,1500,5,14,1.1,285,8,,
6,1531,2.74,1.26,0.25,0.25,1500,6,14,1.1,285,8,,
8,1531,2.7,1.496,0.285714286,0.285714286,1500,8,18,1.1,285,8,,
10,1531,4.3,1.732,0.285714286,0.285714286,2500,10,18,1.1,285,8,,
12,1531,4.53,1.89,0.33333333,0.33333333,2500,11.8,,1.1,285,8,,
14,1531,4.92,1.89,0.33333333,0.33333333,2500,13,,1.1,285,8,,
0.5,GA15,,,,,1000,0.39,3.54,0.3,3705,14,5.1,
0.75,GA15,,,,,1000,0.55,3.94,0.3,3705,14,8.1,
1,GA15,,,,,1000,0.71,4.72,0.3,3705,14,11.9,
1.5,GA15,,,,,1000,1.22,5.51,0.3,3705,14,21.1,
2,GA15,,,,,1000,1.44,7.87,0.3,3705,14,33.2,
0.5,GAL5,0.551,0.625,0.125,0.125,1000,0.45,4.72,0.3,3705,14,13,
0.75,GAL5,0.748,0.625,0.125,0.125,1000,0.59,6.89,0.3,3705,14,18.5,
1,GAL5,0.945,0.625,0.125,0.125,1000,0.77,6.89,0.3,3705,14,21.6,
1.5,GAL5,1.417,0.875,0.167,0.167,1000,1.26,10.24,0.3,3705,14,59,
2,GAL5,1.732,0.875,0.167,0.167,1000,1.57,10.24,0.3,3705,14,77.9,
0.5,GL15,,,,,1000,0.39,3.54,1.1,3705,14,5.3,
0.75,GL15,,,,,1000,0.53,3.94,1.1,3705,14,8.1,
1.5,GL15,1.024,0.875,0.166666667,0.166666667,1000,1.14,5.51,1.1,3705,14,25.1,
2,GL15,,,,,1000,1.38,7.87,1.1,3705,14,37,
0.5,GLL5,0.472,0.625,0.125,0.125,1000,0.43,4.72,1.1,3705,14,12.3,
0.75,GLL5,0.551,0.625,0.125,0.125,1000,0.57,6.89,1.1,3705,14,17.6,
1,GLL5,0.787,0.625,0.125,0.125,1000,0.75,6.89,1.1,3705,14,20.5,
1.5,GLL5,1.102,0.875,0.166666667,0.167,1000,1.122,10.24,1.1,3705,14,57.6,
2,GLL5,1.339,0.875,0.167,0.167,1000,1.48,10.24,1.1,3705,14,75.9,
16,1531,6.44,2.126,0.33333333,0.33333333,2500,15,,1.1,285,8,,
12,1103,10.2,2.875,0.33333333,0.666666667,4000,8.86,,0.3,3705,5,,
20,1103,15.9,4,0.5,1,5000,14.56,,0.3,3705,5,,
10,1903,8.98,2.25,0.33333333,0.666666667,2500,8.42,,0.3,2220,5,,
4,1931,1.96,1.5,0.25,0.25,1500,3.6,,1.1,2220,5,,
4,1231Y,1.81,1.625,0.25,0.25,2500,3.15,,1.1,6170,5,,
